0.0,0.0,0.029694,0.120833,0.308389,0.04125,0.0395,0.122056,0.059361,0.19825,0.200806,0.332111,0.327472,0.811,1.154222,0.621361,0.104639,0.076444,0.232694,0.422778,0.154389
0.0,0.0,0.029694,0.120833,0.308389,0.04125,0.0395,0.122056,0.059361,0.19825,0.200806,0.332111,0.327472,0.811,1.154222,0.621361,0.104639,0.076444,0.232694,0.422778,0.154389
0.026528,0.026528,0.0,0.102194,0.290472,0.058667,0.056917,0.135889,0.033528,0.209778,0.212333,0.343639,0.314306,0.827833,1.165778,0.638194,0.121472,0.087972,0.226472,0.41675,0.142611
0.139472,0.139472,0.112944,0.0,0.389111,0.158194,0.153944,0.194278,0.108472,0.283083,0.285639,0.416306,0.412944,0.913556,1.226056,0.723917,0.210917,0.161361,0.28675,0.515389,0.24125
0.308889,0.308889,0.299556,0.371389,0.0,0.287583,0.304944,0.287167,0.304556,0.196944,0.219778,0.307056,0.127194,0.742111,1.172639,0.543306,0.270639,0.28375,0.305667,0.211361,0.188861
0.043056,0.043056,0.060444,0.137611,0.280556,0.0,0.039111,0.117028,0.083639,0.182667,0.185222,0.316528,0.299639,0.778889,1.150028,0.58925,0.072528,0.060861,0.227667,0.394944,0.126556
0.039111,0.039111,0.0565,0.130306,0.301444,0.034306,0.0,0.114361,0.076333,0.188806,0.191361,0.322667,0.320528,0.801667,1.146528,0.612028,0.095306,0.067,0.225,0.415833,0.147444
0.116333,0.116333,0.125444,0.165694,0.278972,0.111528,0.107278,0.0,0.134028,0.137472,0.140028,0.271333,0.280667,0.749694,1.082278,0.560056,0.096722,0.0695,0.142972,0.389139,0.110528
0.042389,0.042389,0.016528,0.092861,0.292694,0.06725,0.063,0.136722,0.0,0.209,0.211556,0.342861,0.316528,0.827056,1.156444,0.637417,0.120694,0.087194,0.217139,0.418972,0.144833
0.17825,0.17825,0.1905,0.2445,0.214778,0.168028,0.167611,0.135917,0.203917,0.0,0.035028,0.166333,0.226222,0.696139,1.040056,0.5065,0.168361,0.122917,0.175861,0.354778,0.180611
0.207083,0.207083,0.219333,0.273333,0.200222,0.182556,0.196444,0.16475,0.23275,0.028833,0.0,0.183889,0.215639,0.684667,1.068889,0.495028,0.161528,0.15175,0.204694,0.341583,0.172889
0.342472,0.342472,0.354722,0.408722,0.351333,0.33225,0.331833,0.300139,0.368139,0.172028,0.176306,0.0,0.34175,0.795278,1.132972,0.605639,0.332583,0.287139,0.266,0.429083,0.342556
0.313306,0.313306,0.317139,0.3875,0.112,0.288889,0.309361,0.286306,0.322139,0.187833,0.210667,0.340167,0.0,0.738,1.177028,0.548361,0.261528,0.274639,0.31275,0.300722,0.195583
0.846194,0.846194,0.862167,0.927778,0.764222,0.811667,0.838722,0.817972,0.875583,0.733861,0.733667,0.806361,0.710167,0.0,1.311861,0.469472,0.784306,0.808028,0.804972,0.842583,0.790278
1.169194,1.169194,1.179222,1.218556,1.195861,1.164389,1.160139,1.112139,1.187806,1.045611,1.055056,1.143583,1.186278,1.310139,0.0,0.981861,1.166861,1.123556,1.031194,1.273611,1.177944
0.649056,0.649056,0.665028,0.730639,0.576167,0.614528,0.641583,0.620833,0.678444,0.536722,0.536528,0.609222,0.522111,0.460639,0.938861,0.0,0.587167,0.610889,0.607833,0.654528,0.593139
0.1075,0.1075,0.123472,0.189083,0.287556,0.072972,0.100028,0.102056,0.136889,0.166139,0.164722,0.319472,0.285556,0.754583,1.152972,0.564944,0.0,0.077361,0.212694,0.397722,0.119111
0.075389,0.075389,0.087639,0.1445,0.298472,0.065167,0.06475,0.0635,0.101056,0.129139,0.131694,0.263,0.300167,0.769194,1.0965,0.579556,0.080833,0.0,0.174139,0.408639,0.130028
0.304472,0.304472,0.278833,0.329583,0.417111,0.299667,0.295417,0.275611,0.287417,0.255917,0.265361,0.382528,0.407528,0.861056,1.09475,0.671417,0.318694,0.269139,0.0,0.494861,0.351139
0.447917,0.447917,0.448389,0.520222,0.236889,0.425306,0.443972,0.424889,0.453389,0.366583,0.370861,0.416194,0.252056,0.85125,1.281778,0.652444,0.430278,0.425889,0.414806,0.0,0.326583
0.156389,0.156389,0.171,0.240361,0.204972,0.126944,0.152444,0.126528,0.176,0.181333,0.194472,0.333667,0.225222,0.762472,1.168528,0.572833,0.131917,0.127528,0.237167,0.315139,0.0
